name	accession	length	type	submission_date	organism	host	strain	segment	geo_loc_name	country	country_code	collection_original	collection_date	note
OP821798	OP821798	19257	other RNA	2022-11-21	Human respirovirus 3	Homo sapiens	GE-GS/pHLC-HPIV3	NA	USA	USA	USA	2016	2016-01-01	NA
MN306039	MN306039	15610	viral cRNA	2022-05-10	Human respirovirus 3	Homo sapiens	HPIV3/Seattle/USA/SC0767/2019	NA	USA	USA	USA	2019	2019-01-01	NA
OY757615	OY757615	15610	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-082	NA	NA	NA	NA	NA	NA	NA
OY757682	OY757682	15610	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-044	NA	NA	NA	NA	NA	NA	NA
OY757689	OY757689	15610	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-112	NA	NA	NA	NA	NA	NA	NA
OY757731	OY757731	15610	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-153	NA	NA	NA	NA	NA	NA	NA
OY757758	OY757758	15610	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-161	NA	NA	NA	NA	NA	NA	NA
OY757764	OY757764	15610	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-129	NA	NA	NA	NA	NA	NA	NA
OY757815	OY757815	15610	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-145	NA	NA	NA	NA	NA	NA	NA
OY757820	OY757820	15610	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-137	NA	NA	NA	NA	NA	NA	NA
OY757868	OY757868	15610	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-177	NA	NA	NA	NA	NA	NA	NA
OY758983	OY758983	15610	genomic DNA	2023-11-09	Human respirovirus 3	NA	DW-RAT-169	NA	NA	NA	NA	NA	NA	NA
OY757643	OY757643	15597	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-029	NA	NA	NA	NA	NA	NA	NA
OY757612	OY757612	15590	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-119	NA	NA	NA	NA	NA	NA	NA
OY757616	OY757616	15590	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-121	NA	NA	NA	NA	NA	NA	NA
OY757687	OY757687	15590	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-006	NA	NA	NA	NA	NA	NA	NA
OY757617	OY757617	15586	genomic DNA	2023-11-07	Human respirovirus 3	NA	DW-RAT-096	NA	NA	NA	NA	NA	NA	NA
KY369872	KY369872	15542	viral cRNA	2022-05-06	Human respirovirus 3	Homo sapiens	HPIV3/Seattle/USA/SC9791/2016	NA	USA	USA	USA	2016	2016-01-01	NA
MF795094	MF795094	15528	viral cRNA	2022-05-06	Human respirovirus 3	Homo sapiens	HPIV3/Seattle/USA/SC1201/2016	NA	USA	USA	USA	2016	2016-01-01	NA
MN306052	MN306052	15508	viral cRNA	2020-02-21	Human respirovirus 3	Homo sapiens	HPIV3/Seattle/USA/SC9406/2019	NA	USA	USA	USA	2019	2019-01-01	NA
KY234287	KY234287	15498	viral cRNA	2017-07-12	Human respirovirus 3	Homo sapiens	HPIV3/China/BCH01/2016	NA	China	China	CHN	2016	2016-01-01	NA
MF795096	MF795096	15496	viral cRNA	2022-05-06	Human respirovirus 3	Homo sapiens	HPIV3/Seattle/USA/SC2711/2017	NA	USA	USA	USA	2017	2017-01-01	NA
MF795097	MF795097	15488	viral cRNA	2022-05-06	Human respirovirus 3	Homo sapiens	HPIV3/Seattle/USA/SC2288/2015	NA	USA	USA	USA	2015	2015-01-01	NA
MT118701	MT118701	15467	viral cRNA	2021-02-03	Human respirovirus 3	Homo sapiens	2019_2141	NA	USA	USA	USA	2019	2019-01-01	NA
PQ541042	PQ541042	15463	viral cRNA	2024-11-05	Human respirovirus 3	NA	Human_respirovirus_3_HPIV3/Paris/France/2023_C9	NA	NA	NA	NA	Dec-2003	2003-12-01	NA
Z11575	Z11575	15462	genomic RNA	1999-11-23	Human respirovirus 3	NA	JS	NA	NA	NA	NA	NA	NA	NA
U51116	U51116	15462	genomic RNA	1997-03-06	Human respirovirus 3	NA	JS	NA	NA	NA	NA	NA	NA	HPIV-3 mutant cp-45
AB012132	AB012132	15462	genomic RNA	2017-08-29	Human respirovirus 3	Cavia porcellus (Guinea pig)	GP	NA	NA	NA	NA	NA	NA	isolated from Vero cells
NC_001796	NC_001796	15462	viral cRNA	2018-08-13	Human respirovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA
EU326526	EU326526	15462	mRNA	2007-12-28	Human respirovirus 3	NA	ZHYMgz01	NA	NA	NA	NA	NA	NA	NA
EU424062	EU424062	15462	viral cRNA	2009-12-29	Human respirovirus 3	NA	14702	NA	Canada	Canada	CAN	NA	NA	passaged in cell culture
FJ455842	FJ455842	15462	viral cRNA	2011-04-19	Human respirovirus 3	Homo sapiens	LZ22	NA	China: Lanzhou, Gansu	China	CHN	Dec-2003	2003-12-01	NA
FV537054	FV537054	15462	unassigned DNA	2010-03-18	Human respirovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA
FV537055	FV537055	15462	unassigned DNA	2010-03-18	Human respirovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA
FV537056	FV537056	15462	unassigned DNA	2010-03-18	Human respirovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA
FV537057	FV537057	15462	unassigned DNA	2010-03-18	Human respirovirus 3	NA	NA	NA	NA	NA	NA	NA	NA	NA
HM583801	HM583801	15462	viral cRNA	2010-11-29	Simian Agent 10	Cercopithecus mitis (samango monkey)	NA	NA	South Africa	South Africa	ZAF	1963	1963-01-01	NA
KY369866	KY369866	15462	viral cRNA	2019-08-19	Human respirovirus 3	Homo sapiens	HPIV3/Seattle/USA/SC876/2016	NA	USA	USA	USA	2016	2016-01-01	NA
KY369867	KY369867	15462	viral cRNA	2022-05-06	Human respirovirus 3	Homo sapiens	HPIV3/Seattle/USA/SC1216/2016	NA	USA	USA	USA	2016	2016-01-01	NA
MH411617	MH411617	15462	viral cRNA	2018-11-06	Human respirovirus 3	Homo sapiens	PIV3-15462	NA	China	China	CHN	24-Apr-2017	2017-04-24	NA
